guarda,ordem,alpha,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
24.0,0.9,1.3,5567,33237,320,0.14346459127924957,0.9456429420757602,0.2491329350428498,528,38804,5887,6.59
24.0,0.9,1.6,5584,33763,303,0.14191679162324955,0.9485306607779854,0.24689392934518287,528,39347,5887,6.68
24.0,0.9,2.0,5525,33008,362,0.14338359328367892,0.9385085782232037,0.24876181900045025,528,38533,5887,6.55
24.0,0.9,2.5,5425,31499,462,0.14692341024807712,0.9215219976218787,0.25343953656770457,528,36924,5887,6.27
24.0,0.9,3.0,5307,30422,580,0.14853480366089172,0.9014778325123153,0.25504613610149945,528,35729,5887,6.07
24.0,0.9,4.0,5103,29024,784,0.14952969789316378,0.8668252080856124,0.2550607287449393,528,34127,5887,5.8
24.0,0.9,6.0,4860,27637,1027,0.14955226636304889,0.8255478172243927,0.2532305127136307,528,32497,5887,5.52
24.0,0.98,1.0,5586,32293,301,0.14746957417038464,0.9488703923900119,0.2552666453411324,528,37879,5887,6.43
24.0,0.98,1.3,5273,25589,614,0.17085736504439117,0.8957023951078648,0.28697379520531174,528,30862,5887,5.24
24.0,0.98,1.6,4554,19757,1333,0.18732261116367077,0.7735688805843384,0.3016093781045102,528,24311,5887,4.13
24.0,0.98,2.0,3622,15718,2265,0.18728024819027922,0.6152539493799898,0.2871526539025647,528,19340,5887,3.29
24.0,0.98,2.5,2940,13320,2947,0.18081180811808117,0.4994054696789536,0.2654987131439924,528,16260,5887,2.76
24.0,0.98,3.0,2571,12366,3316,0.1721229162482426,0.43672498726006453,0.2469266231271609,528,14937,5887,2.54
24.0,0.98,4.0,2361,11403,3526,0.17153443766346993,0.40105316799728213,0.2402931148542059,528,13764,5887,2.34
24.0,0.98,6.0,2052,10587,3835,0.16235461666271067,0.348564633939188,0.22152650329266976,528,12639,5887,2.15
40.0,0.6,1.0,5427,28802,460,0.1585497677408046,0.9218617292339052,0.27056536045468144,528,34229,5887,5.81
40.0,0.6,1.3,5427,28811,460,0.15850809042584263,0.9218617292339052,0.27050467289719626,528,34238,5887,5.82
40.0,0.6,1.6,5427,28815,460,0.15848957420711407,0.9218617292339052,0.2704777093872262,528,34242,5887,5.82
40.0,0.6,2.0,5427,28830,460,0.15842017689815222,0.9218617292339052,0.2703766440813073,528,34257,5887,5.82
40.0,0.6,2.5,5427,28861,460,0.15827694820345312,0.9218617292339052,0.2701680149346609,528,34288,5887,5.82
40.0,0.6,3.0,5427,28880,460,0.15818929081528552,0.9218617292339052,0.2700403045230632,528,34307,5887,5.83
40.0,0.6,4.0,5427,28869,460,0.15824002799160253,0.9218617292339052,0.2701142274096011,528,34296,5887,5.83
40.0,0.6,6.0,5427,28870,460,0.15823541417616702,0.9218617292339052,0.2701075054748159,528,34297,5887,5.83
40.0,0.75,1.0,5431,28961,456,0.1579146313096069,0.9225411924579582,0.26966905831823035,528,34392,5887,5.84
40.0,0.75,1.3,5434,29045,453,0.15760317874648336,0.923050789875998,0.2692364861517118,528,34479,5887,5.86
40.0,0.75,1.6,5432,29119,455,0.157216867818587,0.9227110582639715,0.26865819278896086,528,34551,5887,5.87
40.0,0.75,2.0,5432,29124,455,0.15719411968977892,0.9227110582639715,0.2686249783646119,528,34556,5887,5.87
40.0,0.75,2.5,5423,29075,464,0.15719751869673604,0.9211822660098522,0.26856506128513064,528,34498,5887,5.86
40.0,0.75,3.0,5426,29061,461,0.15733464783831588,0.921691863427892,0.2687868430177837,528,34487,5887,5.86
40.0,0.75,4.0,5423,29070,464,0.15722030556924593,0.9211822660098522,0.26859831599801887,528,34493,5887,5.86
40.0,0.75,6.0,5405,29010,482,0.1570536103443266,0.9181246815016137,0.26822490198997573,528,34415,5887,5.85
40.0,0.9,1.0,5480,31026,407,0.15011231030515532,0.9308646169526075,0.2585332484136532,528,36506,5887,6.2
40.0,0.9,1.3,5516,31625,371,0.1485151180635955,0.9369797859690844,0.2563911871339593,528,37141,5887,6.31
40.0,0.9,1.6,5545,32133,342,0.14716810871065344,0.9419058943434686,0.25456214851371517,528,37678,5887,6.4
40.0,0.9,2.0,5532,31671,355,0.14869768567051045,0.9396976388652964,0.2567649106521234,528,37203,5887,6.32
40.0,0.9,2.5,5480,30541,407,0.15213347769356764,0.9308646169526075,0.26152524577646274,528,36021,5887,6.12
40.0,0.9,3.0,5376,29772,511,0.15295322635711847,0.9131985731272295,0.26202022663579877,528,35148,5887,5.97
40.0,0.9,4.0,5247,28628,640,0.15489298892988929,0.8912858841515203,0.263920325939339,528,33875,5887,5.75
40.0,0.9,6.0,5064,27667,823,0.1547157129326938,0.8602004416510957,0.2622611217566938,528,32731,5887,5.56
40.0,0.98,1.0,5562,31230,325,0.15117416829745597,0.9447936130456939,0.26064340776494294,528,36792,5887,6.25
40.0,0.98,1.3,5362,25851,525,0.1717873962771922,0.9108204518430439,0.2890566037735849,528,31213,5887,5.3
40.0,0.98,1.6,4785,21228,1102,0.18394648829431437,0.812807881773399,0.3,528,26013,5887,4.42
40.0,0.98,2.0,4009,17349,1878,0.18770484127727316,0.6809920163071174,0.2942925307395852,528,21358,5887,3.63
40.0,0.98,2.5,3412,15021,2475,0.18510280475234633,0.5795821301172074,0.28059210526315786,528,18433,5887,3.13
40.0,0.98,3.0,3003,14014,2884,0.17647058823529413,0.5101070154577884,0.2622249388753056,528,17017,5887,2.89
40.0,0.98,4.0,2747,13093,3140,0.17342171717171717,0.46662136911839647,0.2528650987250886,528,15840,5887,2.69
40.0,0.98,6.0,2528,12263,3359,0.1709147454533162,0.42942075760149484,0.2445110745720089,528,14791,5887,2.51
56.0,0.6,1.0,5423,28779,464,0.15855797906555172,0.9211822660098522,0.2705480306318441,528,34202,5887,5.81
56.0,0.6,1.3,5423,28781,464,0.15854870775347912,0.9211822660098522,0.2705345339352972,528,34204,5887,5.81
56.0,0.6,1.6,5423,28787,464,0.1585209003215434,0.9211822660098522,0.27049405192408404,528,34210,5887,5.81
56.0,0.6,2.0,5423,28793,464,0.1584931026420388,0.9211822660098522,0.27045358202628234,528,34216,5887,5.81
56.0,0.6,2.5,5423,28798,464,0.15846994535519127,0.9211822660098522,0.27041986636082577,528,34221,5887,5.81
56.0,0.6,3.0,5423,28823,464,0.1583542603515739,0.9211822660098522,0.27025141404828945,528,34246,5887,5.82
56.0,0.6,4.0,5423,28835,464,0.15829879152314788,0.9211822660098522,0.27017063146095405,528,34258,5887,5.82
56.0,0.6,6.0,5423,28859,464,0.15818797036345605,0.9211822660098522,0.2700092110831736,528,34282,5887,5.82
56.0,0.75,1.0,5423,28885,464,0.1580680890754343,0.9211822660098522,0.2698345565368827,528,34308,5887,5.83
56.0,0.75,1.3,5423,28885,464,0.1580680890754343,0.9211822660098522,0.2698345565368827,528,34308,5887,5.83
56.0,0.75,1.6,5423,28924,464,0.1578886074475209,0.9211822660098522,0.2695729979619228,528,34347,5887,5.83
56.0,0.75,2.0,5423,28935,464,0.15783805809418475,0.9211822660098522,0.26949931668530247,528,34358,5887,5.84
56.0,0.75,2.5,5417,28932,470,0.15770473667355672,0.9201630711737727,0.2692613579878716,528,34349,5887,5.83
56.0,0.75,3.0,5419,28925,468,0.15778593058467272,0.9205028027857992,0.2693942482165494,528,34344,5887,5.83
56.0,0.75,4.0,5419,28930,468,0.1577629625316603,0.9205028027857992,0.26936077144845416,528,34349,5887,5.83
56.0,0.75,6.0,5418,28917,469,0.1577981651376147,0.920332936979786,0.26940480334145495,528,34335,5887,5.83
56.0,0.9,1.0,5488,30456,399,0.1526819496995326,0.9322235434007135,0.2623891372427148,528,35944,5887,6.11
56.0,0.9,1.3,5491,30956,396,0.15065711855571104,0.9327331408187531,0.2594132375868097,528,36447,5887,6.19
